City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
403,tacuarembo,-31.7333,-55.9833,293.03,19,4,9.68,UY,1676655136
404,victoria,22.2855,114.1577,293.12,79,21,3.58,HK,1676655240
405,pacific grove,36.6177,-121.9166,285.18,57,0,0.89,US,1676655351
406,berlevag,70.8578,29.0864,273.15,74,75,6.69,NO,1676655352
407,lokoja,7.8024,6.743,304.72,14,17,2.07,NG,1676655352
408,synya,65.3718,58.0387,257.61,96,34,3.49,RU,1676655352
409,richards bay,-28.783,32.0377,295.94,89,100,2.13,ZA,1676655353
410,ostrovnoy,68.0531,39.5131,267.51,85,100,12.97,RU,1676655353
411,carinhanha,-14.3047,-43.765,308.15,31,98,2.04,BR,1676655354
412,phek,25.6667,94.5,282.77,75,63,0.83,IN,1676655354
413,husavik,66.0449,-17.3389,268.27,76,67,5.62,IS,1676655355
414,dullewala,31.8359,71.4362,292.44,34,100,2.65,PK,1676655355
415,tornio,65.8481,24.1466,273.16,97,79,3.57,FI,1676655355
416,saint anthony,45.0205,-93.218,267.2,56,0,5.66,US,1676655356
417,priiskovyy,51.9333,116.6333,249.51,97,68,2.63,RU,1676655357
418,surab,28.4914,66.2585,287.13,17,5,0.31,PK,1676655357
419,tucurui,-3.7661,-49.6725,300.06,74,98,1.1,BR,1676655357
420,korcula,42.9622,17.1369,285.12,68,1,1.1,HR,1676655358
421,dhidhdhoo,6.8833,73.1,299.9,67,66,3.05,MV,1676655358
422,noumea,-22.2763,166.4572,298.15,99,40,3.0,NC,1676655359
423,bundaberg,-24.85,152.35,293.83,97,96,0.89,AU,1676655187
424,losal,27.4,74.9167,294.07,24,0,2.18,IN,1676655359
425,nizhniy kuranakh,58.8353,125.4869,248.44,99,93,1.63,RU,1676655360
426,yerbogachen,61.2767,108.0108,257.14,98,100,1.56,RU,1676655361
427,skibbereen,51.55,-9.2667,284.88,93,98,8.28,IE,1676655361
428,pafos,34.7667,32.4167,284.03,58,20,2.06,CY,1676655362
429,nalut,30.3333,10.85,286.61,35,0,4.28,LY,1676655363
430,fort nelson,58.8053,-122.7002,255.34,79,100,0.89,CA,1676655363
431,viedma,-40.8135,-62.9967,288.69,47,75,9.3,AR,1676655365
432,pisco,-13.7,-76.2167,300.38,74,0,4.63,PE,1676655312
433,chambersburg,39.9376,-77.6611,282.29,73,98,4.47,US,1676655311
434,voh,-20.9667,164.7,295.26,85,20,2.06,NC,1676655367
435,avdon,54.6667,55.7167,266.77,85,100,2.0,RU,1676655368
436,panzhihua,26.5851,101.7128,284.94,44,55,0.81,CN,1676655368
437,dunedin,-45.8742,170.5036,285.14,89,95,1.73,NZ,1676655214
438,nouadhibou,20.931,-17.0347,294.14,56,0,7.72,MR,1676655152
439,bitung,1.4451,125.1824,297.62,83,74,1.34,ID,1676655369
440,ajdabiya,30.7554,20.2263,287.68,45,16,3.03,LY,1676655370
441,saskylakh,71.9167,114.0833,241.93,100,99,1.9,RU,1676655370
442,gouyave,12.1646,-61.7296,301.58,61,40,11.32,GD,1676655371
443,bakau,13.4781,-16.6819,293.64,76,20,6.93,GM,1676655371
444,iqaluit,63.7506,-68.5145,241.31,60,20,6.17,CA,1676655372
445,batagay-alyta,67.8006,130.4114,243.59,99,100,0.38,RU,1676655372
446,sept-iles,50.2001,-66.3821,260.4,56,100,3.09,CA,1676655346
447,durres,41.3231,19.4414,284.25,79,6,0.28,AL,1676655373
448,tazovskiy,67.4667,78.7,265.59,92,100,4.86,RU,1676655374
449,parauna,-16.9478,-50.4486,302.17,58,99,4.14,BR,1676655374
450,kendari,-3.945,122.4989,297.28,92,53,1.39,ID,1676655375
451,hueytown,33.4512,-86.9967,281.06,68,100,5.14,US,1676655376
452,langsa,4.4683,97.9683,297.17,90,100,1.07,ID,1676655376
453,ixtapa,20.7,-105.2,296.72,64,0,1.54,MX,1676655377
454,crowthorne,51.3703,-0.7922,286.29,74,75,5.14,GB,1676655377
455,simplicio mendes,-7.8539,-41.9103,308.74,30,83,1.84,BR,1676655378
456,sassandra,4.95,-6.0833,301.37,73,36,3.45,CI,1676655379
457,olafsvik,64.8945,-23.7142,273.92,72,91,10.42,IS,1676655379
458,catamarca,-28.4696,-65.7852,287.92,53,98,8.91,AR,1676655113
459,kumluca,36.3703,30.2869,283.83,75,18,0.94,TR,1676655380
460,lima,-12.0432,-77.0282,298.29,69,96,3.6,PE,1676655378
461,malanje,-9.5402,16.341,292.86,92,98,1.81,AO,1676655381
462,brokopondo,4.75,-55.1667,300.32,76,81,3.39,SR,1676655382
463,ettlingen,48.9409,8.4076,287.02,80,100,1.79,DE,1676655382
464,tete,-16.1564,33.5867,303.2,74,40,2.06,MZ,1676655383
465,bairiki,1.3292,172.9752,300.15,89,75,2.06,KI,1676655383
466,palanga,55.9175,21.0686,278.16,100,100,7.2,LT,1676655384
467,teguldet,57.3064,88.1667,265.3,94,100,4.7,RU,1676655386
468,mecca,21.4267,39.8261,295.78,41,78,2.12,SA,1676655102
469,aliwal north,-30.6937,26.7114,292.12,74,88,2.97,ZA,1676655386
470,vicksburg,32.3526,-90.8779,278.0,56,100,8.23,US,1676655387
471,punta alta,-38.8759,-62.0736,290.12,48,20,10.8,AR,1676655388
472,ferrol,43.4832,-8.2369,291.44,82,6,3.75,ES,1676655389
473,bogo,11.0517,124.0055,298.24,86,100,7.4,PH,1676655390
474,alekseyevsk,57.8406,108.3492,261.13,92,100,4.62,RU,1676655391
475,cockburn town,21.4612,-71.1419,299.13,57,40,7.72,TC,1676655391
476,skjervoy,70.0311,20.9714,271.15,71,99,7.46,NO,1676655392
477,vanimo,-2.6741,141.3028,297.89,90,100,2.59,PG,1676655393
478,waipawa,-41.4122,175.5153,283.05,92,7,1.42,NZ,1676655393
479,miri,4.4148,114.0089,299.23,94,40,0.0,MY,1676655394
480,kamenka,51.3223,42.7678,258.34,100,88,2.05,RU,1676655394
481,hanmer springs,-42.5167,172.8167,285.42,88,67,0.7,NZ,1676655395
482,tapikan,6.8519,124.3225,294.61,88,100,0.95,PH,1676655395
483,pimentel,-6.8367,-79.9342,305.31,45,0,3.09,PE,1676655396
484,nizwa,22.9333,57.5333,298.11,18,0,0.51,OM,1676655396
485,betare oya,5.6,14.0833,300.33,21,79,2.17,CM,1676655397
486,pemangkat,1.1667,108.9667,298.24,89,96,2.96,ID,1676655397
487,san benito,36.6166,-121.0844,277.52,33,79,1.37,US,1676655397
488,yulara,-25.2406,130.9889,300.23,49,0,4.49,AU,1676655398
489,jos,9.9167,8.9,295.76,23,10,3.15,NG,1676655398
490,buraydah,26.326,43.975,284.4,37,91,3.01,SA,1676655399
491,aiquile,-18.2041,-65.1807,288.11,82,98,4.14,BO,1676655399
492,ulagan,50.6321,87.9563,251.06,89,23,1.44,RU,1676655400
493,vestmanna,62.1564,-7.1664,274.66,69,40,5.66,FO,1676655400
494,dukat,62.55,155.55,237.36,99,100,2.02,RU,1676655401
495,quelimane,-17.8786,36.8883,297.12,94,75,2.57,MZ,1676655401
496,chunoyar,57.4467,97.3217,265.7,92,100,5.61,RU,1676655402
497,marsh harbour,26.5412,-77.0636,298.13,73,24,7.46,BS,1676655371
498,tarsus,36.9188,34.8784,283.08,55,0,1.64,TR,1676655402
499,uyar,55.81,94.3153,264.99,92,100,8.7,RU,1676655403
500,petropavlovsk-kamchatskiy,53.0452,158.6483,254.69,78,0,3.0,RU,1676655106
501,tyukhtet,56.5389,89.3011,264.19,91,100,6.0,RU,1676655403
502,bourail,-21.5667,165.4833,294.6,84,11,1.41,NC,1676655404
503,walvis bay,-22.9575,14.5053,294.68,68,0,7.2,NA,1676655404
504,umm lajj,25.0213,37.2685,294.82,46,35,9.03,SA,1676655404
505,igrim,63.1906,64.4162,256.35,99,62,1.8,RU,1676655405
506,krasnoarmeysk,51.0239,45.6969,264.14,97,98,2.43,RU,1676655405
507,hay river,60.8156,-115.7999,245.13,76,40,3.6,CA,1676655406
508,carman,49.4992,-98.0016,270.87,68,100,5.66,CA,1676655406
509,yumen,40.2833,97.2,267.78,61,95,1.86,CN,1676655407
510,lewistown,40.5992,-77.5714,280.51,84,100,7.72,US,1676655408
511,camana,-16.6228,-72.7111,298.86,78,82,3.86,PE,1676655408
512,del rio,29.3627,-100.8968,282.11,28,0,1.54,US,1676655392
513,savinka,50.0785,47.0994,263.61,97,94,3.02,RU,1676655409
514,trstena,49.361,19.6125,277.92,100,100,3.74,SK,1676655410
515,elko,41.0002,-115.5012,261.84,65,88,2.24,US,1676655410
516,yeppoon,-23.1333,150.7333,296.03,66,100,5.26,AU,1676655411
517,bassila,9.0081,1.6654,301.91,16,89,1.73,BJ,1676655411
518,umm kaddadah,13.6017,26.6876,291.39,16,0,6.64,SD,1676655411
519,pangkalanbuun,-2.6833,111.6167,296.18,98,16,1.22,ID,1676655412
520,mareeba,-17.0,145.4333,295.62,97,100,1.65,AU,1676655412
521,sibolga,1.7427,98.7792,297.77,80,52,1.45,ID,1676655412
522,bereslavka,48.6254,44.0449,260.2,98,47,2.21,RU,1676655413
523,avera,33.194,-82.5271,289.88,76,100,7.65,US,1676655413
524,fairbanks,64.8378,-147.7164,247.13,78,0,1.54,US,1676655381
525,batelov,49.3143,15.3947,283.08,83,100,10.79,CZ,1676655414
526,carlisle,40.2015,-77.1889,282.23,62,91,4.47,US,1676655414
527,verkhnevilyuysk,63.4453,120.3167,256.85,96,100,1.92,RU,1676655415
528,nanga eboko,4.6833,12.3667,299.51,23,67,0.28,CM,1676655415
529,lucea,18.451,-78.1736,301.96,73,4,7.96,JM,1676655415
530,north bend,43.4065,-124.2243,282.08,81,0,1.54,US,1676655416
531,magadan,59.5667,150.8,249.01,84,80,2.76,RU,1676655416
532,tiznit,29.5833,-9.5,288.89,54,0,9.68,MA,1676655417
533,chimbote,-9.0853,-78.5783,300.44,62,79,4.52,PE,1676655417
534,ust-kut,56.7938,105.7672,262.7,93,100,3.3,RU,1676655417
535,nanortalik,60.1432,-45.2371,273.59,71,100,11.21,GL,1676655418
536,kijang,35.2442,129.2139,279.0,81,100,0.68,KR,1676655418
537,shelburne,44.0787,-80.2041,264.76,83,100,7.08,CA,1676655419
538,kizukuri,40.8061,140.3861,277.33,69,59,4.24,JP,1676655419
539,magrath,49.4167,-112.8686,276.79,48,38,10.8,CA,1676655419
540,san-pedro,4.7485,-6.6363,301.53,73,37,3.47,CI,1676655420
541,bara,10.3744,10.7288,301.03,17,3,4.29,NG,1676655420
542,sarangani,5.4033,125.4636,300.57,77,100,3.82,PH,1676655421
543,lagoa,39.05,-27.9833,288.1,66,100,6.87,PT,1676655421
544,opuwo,-18.0607,13.84,296.49,18,49,6.05,NA,1676655421
